Application calcul CD paye - commune de Boufatis...............................   10/09/2017  - 11:10:41
ok = 3523770                             ......................................   10/09/2017  - 11:10:41
Fichier selectionné : C:\Users\INFO\Desktop\myFile.txt
i = 2 # 3529664
i = 3 # 3396656
i = 4 # 3396656
i = 5 # 3456656
i = 6 # 3332528
i = 7 # 3332528
i = 8 # 3208724
i = 9 # 3208724
i = 10 # 2647281
i = 11 # 2647281
i = 12 # 2677281
i = 13 # 2647281
i = 14 # 2647281
i = 15 # 3558155
i = 16 # 3356055
i = 17 # 3640962
i = 18 # 3523770
i = 19 # 3095363
i = 20 # 3185363
i = 21 # 3295363
i = 22 # 3078264
i = 23 # 2227499
i = 24 # 2138677
i = 25 # 2248677
i = 26 # 2138677
i = 27 # 2138677
i = 28 # 2077600
i = 29 # 2107600
i = 30 # 1901072
i = 31 # 1961072
i = 32 # 2250592
i = 33 # 2116445
i = 34 # 2356069
i = 35 # 2186069
i = 36 # 2014157
i = 37 # 2028767
i = 38 # 1816900
i = 39 # 1756900
i = 40 # 1537107
i = 41 # 1647450
i = 42 # 1786900
i = 43 # 1756900
i = 44 # 1786900
i = 45 # 1786900
i = 46 # 1756900
i = 47 # 1816900
i = 48 # 1786900
i = 49 # 1816900
i = 50 # 1786900
i = 51 # 1756900
i = 52 # 1846900
i = 53 # 1756900
i = 54 # 1646900
i = 55 # 1786900
i = 56 # 1646900
i = 57 # 1646900
i = 58 # 1816900
i = 59 # 1646900
i = 60 # 1786900
i = 61 # 3446706
buttonCalculer clicked 
